timestamp,open,high,low,close,volume
2025-10-15 09:15:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 09:20:00,2940.00,2942.94,2937.06,2940.00,1000000
2025-10-15 09:25:00,2930.00,2932.93,2927.07,2930.00,1000000
2025-10-15 09:30:00,2925.00,2927.92,2922.08,2925.00,1000000
2025-10-15 09:35:00,2920.00,2922.92,2917.08,2920.00,1000000
2025-10-15 09:45:00,2850.00,2852.85,2847.15,2850.00,1000000
2025-10-15 09:50:00,2886.00,2888.89,2883.11,2886.00,1000000
2025-10-15 09:55:00,2885.00,2887.89,2882.12,2885.00,1000000
2025-10-15 10:00:00,2920.00,2922.92,2917.08,2920.00,1000000
2025-10-15 10:05:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 10:10:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 10:15:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 10:20:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 10:25:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 10:30:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 10:35:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 10:40:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 10:45:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 10:50:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 10:55:00,2930.00,2932.93,2927.07,2930.00,1000000
2025-10-15 11:00:00,2925.00,2927.92,2922.08,2925.00,1000000
2025-10-15 11:05:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 11:10:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 11:15:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 11:20:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 11:25:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 11:30:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 11:35:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 11:40:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 11:45:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 11:50:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 11:55:00,2930.00,2932.93,2927.07,2930.00,1000000
2025-10-15 12:00:00,2925.00,2927.92,2922.08,2925.00,1000000
2025-10-15 12:05:00,2960.00,2962.96,2957.04,2960.00,1000000
2025-10-15 12:10:00,2970.00,2972.97,2967.03,2970.00,1000000
2025-10-15 12:15:00,2980.00,2982.98,2977.02,2980.00,1000000
2025-10-15 12:20:00,2990.00,2992.99,2987.01,2990.00,1000000
2025-10-15 12:25:00,3000.00,3003.00,2997.00,3000.00,1000000
2025-10-15 12:30:00,3010.00,3013.01,3006.99,3010.00,1000000
2025-10-15 12:35:00,3020.00,3023.02,3016.98,3020.00,1000000
2025-10-15 12:40:00,3025.00,3028.03,3021.98,3025.00,1000000
2025-10-15 12:45:00,3060.00,3063.06,3056.94,3060.00,1000000
2025-10-15 12:50:00,3085.00,3088.09,3081.92,3085.00,1000000
2025-10-15 12:55:00,3090.00,3093.09,3086.91,3090.00,1000000
2025-10-15 13:00:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 13:05:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 13:10:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 13:15:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 13:20:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 13:25:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 13:30:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 13:35:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 13:40:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 13:45:00,2950.00,2952.95,2947.05,2950.00,1000000
2025-10-15 13:50:00,2960.00,2962.96,2957.04,2960.00,1000000
2025-10-15 13:55:00,2970.00,2972.97,2967.03,2970.00,1000000
2025-10-15 14:00:00,3050.00,3053.05,3046.95,3050.00,1000000
